ALTERNATIVEACC	GI	PRIMARYACC	TAXID
AFK79034.1	388827903	AFK79034.1	52451
AFK79039.1	388827913	AFK79039.1	52451
AFX67020.1	418731124	AFX67020.1	4113
AFX67035.1	418731468	NP_001274852.1	4113
AGN33444.1	510122043	AGN33444.1	4679
AGS12592.1	527346908	AGS12592.1	226677
AGU14071.1	533214658	AGU14071.1	3827
AGU14079.1	533214674	XP_004492515.1	3827
AGU14098.1	533214712	XP_004499699.1	3827
AGU14134.1	533214784	XP_004502001.1	3827
AGU14136.1	533214788	XP_004502000.1	3827
AGU14141.1	533214798	AGU14141.1	3827
AGU14143.1	533214802	XP_004516402.1	3827
AGU14148.1	533214812	XP_004516705.1	3827
AGU14150.1	533214816	XP_004515407.1	3827
AGV54472.1	543176899	AGV54472.1	3885
AGZ84545.1	556925488	A0A067YB04.1	3893
AGZ84546.1	556925491	A0A067YBQ3.1	3893
AHL38566.1	591401678	At_72E2_S4	3702
AHL38603.1	591401752	At_72E3_S38	3702
AHL38661.1	591401868	NP_195395.4	3702
AHL38715.1	591401976	At_72B1_S3	3702
AHL38734.1	591402014	NP_566938.1	3702
AHL38927.1	591402400	UGT74B1_S187	3702
AHL38976.1	591402498	At_72B3_S42	3702
AHZ08761.1	630866547	Nt_UGT1_S2	4097
AIE12476.1	661400140	AIE12476.1	4054
AIE12483.1	661400230	AIE12483.1	4054
AII32291.1	670609482	AII32291.1	105884
AII32292.1	670609484	AII32292.1	105884
AIL51399.1	675272224	AIL51399.1	3627
AIL51400.1	675272226	AIL51400.1	3627
AIS39475.1	693585434	XP_006426368.1	37656
AIZ00426.1	728892675	AIZ00426.1	4054
AJF48887.1	751372701	AJF48887.1	45171
AKA44589.1	788945578	AKA44589.1	4054
AKA44594.1	788945706	AKA44594.1	4054
AKP45162.1	873330067	AKP45162.1	4577
ALG62632.1	932245599	NP_001314500.1	3635
ALO19886.1	952950736	ALO19886.1	4442
ALO19887.1	952950738	ALO19887.1	4442
ALO19895.1	952950754	ALO19895.1	4442
ALO19896.1	952950756	XP_028120332.1	4442
ALR85712.1	960500040	ALR85712.1	36774
AMK52071.1	998632729	AMK52071.1	65409
AMK52072.1	998632731	AMK52072.1	65409
AMK52073.1	998632733	AMK52073.1	65409
AMQ26113.1	1005816391	AMQ26113.1	3893
AMQ26120.1	1005816405	AMQ26120.1	3893
ANM60250.1	1039010280	NP_001322549.1	3702
ANN02874.1	1039217156	ANN02874.1	22663
ANS59121.1	1043526383	ACD87062.1	32630
ANW09830.1	1046810598	ANW09830.1	4222
AOG18240.1	1059844154	Lj_72AG1_S73	34305
APR64082.1	1126498864	APR64082.1	118781
AQD20582.1	1141997696	AQD20582.1	265354
AQK48645.1	1142684719	Zm_85854_S107	4577
AQK49202.1	1142685276	NP_001147512.2	4577
AQK59555.1	1142695629	Zm_56026_S100	4577
AQK59556.1	1142695630	NP_001148283.2	4577
AQK84656.1	1142826569	XP_008649435.1	4577
AQK87762.1	1142829675	NP_001149283.2	4577
AQK97669.1	1142839583	NP_001335896.1	4577
AQL00708.1	1142842621	NP_001148567.1	4577
AQL00714.1	1142842627	Zm_11344_S96	4577
AQL06789.1	1142848703	Zm_43295_S98	4577
AQQ16625.1	1147400050	AQQ16625.1	49451
AQQ16637.1	1147400075	XP_019259374.1	49451
AQQ16642.1	1147400085	XP_019225688.1	49451
AQQ16643.1	1147400088	XP_019225689.1	49451
AQQ16645.1	1147400092	XP_019249734.1	49451
AQQ16646.1	1147400094	XP_019260770.1	49451
AQQ16647.1	1147400096	XP_019260769.1	49451
AQQ16652.1	1147400106	XP_019228618.1	49451
AQQ16661.1	1147400125	XP_019232058.1	49451
AQQ16675.1	1147400154	XP_019233766.1	49451
AQQ16676.1	1147400156	XP_019230479.1	49451
AQQ16702.1	1147400213	XP_019239435.1	49451
AQQ16704.1	1147400217	XP_019233977.1	49451
AQQ16708.1	1147400226	XP_019244683.1	49451
AQQ16712.1	1147400236	XP_019264513.1	49451
AQQ16714.1	1147400240	XP_019239435.1	49451
AQQ16717.1	1147400247	XP_019238796.1	49451
AQQ16729.1	1147400271	XP_019260769.1	49451
ARM65414.1	1188251084	ARM65414.1	45385
ART66192.1	1197989637	ART66192.1	228393
ARU08120.1	1198383340	ARU08120.1	114476
ATY39978.1	1280465071	ATY39978.1	649199
AUI41117.1	1317978360	AUI41117.1	203015
AUI41118.1	1317978362	AUI41118.1	203015
AUI41119.1	1317978364	AUI41119.1	203015
AUI41126.1	1317978378	AUI41126.1	203015
AUI41129.1	1317978384	AUI41129.1	203015
AUI41131.1	1317978388	AUI41131.1	203015
AUI41132.1	1317978390	AUI41132.1	203015
AUI41141.1	1317978408	AUI41141.1	203015
AUI41142.1	1317978410	AUI41142.1	203015
AUI41143.1	1317978412	AUI41143.1	203015
AUI41144.1	1317978414	AUI41144.1	203015
AUI41146.1	1317978418	AUI41146.1	203015
AUI41147.1	1317978420	AUI41147.1	203015
AUR26624.1	1330699339	AUR26624.1	48106
AUR26628.1	1330699347	AUR26628.1	48106
AVM80877.1	1358962968	AVM80877.1	528268
AVY91705.1	1377213731	AVY91705.1	193079
AWD73588.1	1383766633	AWD73588.1	82047
AWJ96786.1	1388809559	AWJ96786.1	74504
AWJ96787.1	1388809561	AWJ96787.1	74504
AWJ96788.1	1388809563	AWJ96788.1	74504
AWJ96789.1	1388809565	AWJ96789.1	74504
AWJ96790.1	1388809567	AWJ96789.1	74504
AWJ96791.1	1388809569	AWJ96789.1	74504
AWJ96792.1	1388809571	AWJ96787.1	74504
AWJ96793.1	1388809573	AWJ96793.1	74518
AWJ96794.1	1388809575	AWJ96793.1	74518
AWJ96795.1	1388809577	AWJ96793.1	74518
AWJ96796.1	1388809579	AWJ96793.1	74518
AWJ96797.1	1388809581	AWJ96793.1	74518
AWJ96798.1	1388809583	AWJ96798.1	74518
AWJ96799.1	1388809585	AWJ96799.1	1211619
AWJ96800.1	1388809587	AWJ96799.1	1211619
AWJ96801.1	1388809589	AWJ96799.1	1211619
AWJ96802.1	1388809591	AWJ96799.1	1211619
AWJ96803.1	1388809593	AWJ96799.1	1211619
AWJ96804.1	1388809595	AWJ96804.1	1211619
AWJ96805.1	1388809597	AWJ96799.1	360323
AWJ96806.1	1388809599	AWJ96806.1	360326
AWJ96807.1	1388809601	AWJ96807.1	360326
AWJ96808.1	1388809603	AWJ96808.1	360326
AWJ96809.1	1388809605	AWJ96809.1	360326
AWJ96810.1	1388809607	AWJ96810.1	360326
AWJ96811.1	1388809609	AWJ96811.1	362605
AWJ96812.1	1388809611	AWJ96812.1	362605
AWJ96813.1	1388809613	AWJ96813.1	362605
AWJ96814.1	1388809615	AWJ96814.1	362605
AWJ96815.1	1388809617	AWJ96815.1	362605
AWJ96816.1	1388809619	AWJ96816.1	362604
AWJ96817.1	1388809621	AWJ96816.1	362604
AWJ96818.1	1388809623	AWJ96818.1	362604
AWJ96819.1	1388809625	AWJ96819.1	362604
AWJ96820.1	1388809627	AWJ96820.1	362604
AWJ96821.1	1388809629	AWJ96821.1	362604
AWJ96822.1	1388809631	AWJ96822.1	74524
AWJ96823.1	1388809633	AWJ96822.1	74524
AWJ96824.1	1388809635	AWJ96822.1	74524
AWJ96825.1	1388809637	AWJ96822.1	74524
AWJ96826.1	1388809639	AWJ96822.1	74524
AWJ96827.1	1388809641	AWJ96822.1	74524
AWJ96828.1	1388809643	AWJ96822.1	361990
AWJ96829.1	1388809645	AWJ96822.1	74532
AWJ96830.1	1388809647	AWJ96822.1	74532
AWJ96831.1	1388809649	AWJ96831.1	3899
AWJ96833.1	1388809653	AWJ96833.1	3899
AWJ96834.1	1388809655	AWJ96831.1	3899
AWJ96835.1	1388809657	AWJ96822.1	3899
AWJ96836.1	1388809659	AWJ96836.1	3899
AWJ96837.1	1388809661	AWJ96831.1	3899
AWJ96838.1	1388809663	AWJ96831.1	3899
AWJ96839.1	1388809665	AWJ96831.1	3899
AWJ96840.1	1388809667	AWJ96831.1	3899
AWJ96841.1	1388809669	AWJ96831.1	3899
AWJ96842.1	1388809671	AWJ96831.1	3899
AWJ96843.1	1388809673	AWJ96822.1	3899
AWJ96844.1	1388809675	AWJ96831.1	3899
AWJ96845.1	1388809677	AWJ96831.1	3899
AWJ96846.1	1388809679	AWJ96846.1	3899
AWJ96847.1	1388809681	AWJ96831.1	3899
AWJ96848.1	1388809683	AWJ96831.1	3899
AWJ96849.1	1388809685	AWJ96833.1	3899
AWJ96850.1	1388809687	AWJ96846.1	3899
AWJ96851.1	1388809689	AWJ96822.1	3899
AWJ96852.1	1388809691	AWJ96831.1	3899
AWJ96853.1	1388809693	AWJ96831.1	3899
AWJ96854.1	1388809695	AWJ96831.1	3899
AWJ96929.1	1388809845	AWJ96831.1	3899
AXL95242.1	1446201877	AXL95242.1	175694
AXL95243.1	1446201879	AXL95243.1	175694
AXL95247.1	1446201887	AXL95247.1	175694
AXL95248.1	1446201889	AXL95248.1	175694
AXL95249.1	1446201891	AXL95249.1	175694
AXM42903.1	1446539051	SPT15509.1	4565
AYA22038.1	1477181508	AYA22038.1	62330
AYC63477.1	1482646268	AYC63477.1	107240
AYC63478.1	1482646270	AYC63478.1	107240
AYC63482.1	1482646278	AYC63482.1	107240
AYC63483.1	1482646280	AYC63483.1	107240
AYC63484.1	1482646282	AYC63484.1	107240
AYC63486.1	1482646286	AYC63486.1	107240
AYC63487.1	1482646288	AYC63487.1	107240
AYC63488.1	1482646290	AYC63488.1	107240
AYC63489.1	1482646292	AYC63489.1	107240
AYE56829.1	1485348955	AYE56829.1	49390
AYN74348.1	1496271264	AYN74348.1	93977
AYN74350.1	1496271272	AYN74350.1	93977
AYN74351.1	1496271276	AYN74351.1	93977
AYO91697.1	1498768258	AYO91697.1	3498
AYR16604.1	1510262269	AYR16604.1	355332
AYR16607.1	1510262275	AYR16607.1	355332
AYR16617.1	1510262295	AYR16617.1	355332
AYR16634.1	1510262360	AYR16634.1	355332
AZQ26912.1	1541310351	AZQ26912.1	38783
AZQ26914.1	1541310355	AZQ26914.1	38783
AZQ26915.1	1541310357	AZQ26915.1	38783
AZQ26936.1	1541310399	UGT88C4_S124	38783
BAA83484.1	5763524	BAA83484.1	65409
BAA97275.1	8843727	At_72E2_S4	3702
BAB17176.1	11034674	XP_015629899.1	39947
BAB17182.1	11034680	Os_72J1_S88	39947
BAB67976.1	15623919	XP_015629899.1	39947
BAB68081.1	15624027	XP_025876581.1	39947
BAB68088.1	15624034	BAB68088.1	39947
BAB68090.1	15624036	XP_015632478.1	39947
BAB68093.1	15624039	XP_015632784.1	39947
BAB86921.1	19911189	NP_001316766.1	3914
BAB86928.1	19911203	NP_001316756.1	3914
BAC10743.1	22535568	Os_88C1_S89	39947
BAD28246.1	50252240	BAD28882.1	39947
BAD28247.1	50252241	XP_015624646.1	39947
BAD28252.1	50252246	XP_015624368.1	39947
BAD28257.1	50252251	Os_72H3_S87	39947
BAD28262.1	50252256	XP_025878635.1	39947
BAD28882.1	50251521	BAD28882.1	39947
BAD28883.1	50251522	XP_015624646.1	39947
BAD29722.1	50284482	BAD29722.1	4058
BAD43267.1	51969150	BAD43267.1	3702
BAD52006.1	52839682	BAD52006.1	3570
BAD61637.1	54290956	XP_015644111.1	39947
BAD93688.1	62241063	NP_001312868.1	4097
BAD93690.1	62241067	NP_001312409.1	4097
BAD99560.1	67513956	Rc_GT1_S91	128735
BAE72451.1	84579740	BAE72451.1	128735
BAE72452.1	84579742	Rc_GT1_S91	128735
BAF05512.1	113533129	XP_015629899.1	39947
BAF05514.1	113533131	Os_72J1_S88	39947
BAF05884.1	113533501	Os_88C1_S89	39947
BAF06080.1	113533697	XP_025876581.1	39947
BAF06084.1	113533701	BAB68088.1	39947
BAF06086.1	113533703	XP_015632478.1	39947
BAF06087.1	113533704	XP_015632784.1	39947
BAF08321.1	113535938	BAF08321.1	39947
BAF08322.2	255670757	XP_015624646.1	39947
BAF08324.1	113535941	Os_72H3_S87	39947
BAF08325.1	113535942	XP_025878635.1	39947
BAF18019.1	113579656	XP_015637646.1	39947
BAF18028.1	113579665	XP_015639821.1	39947
BAF19489.1	113595615	XP_015644111.1	39947
BAF49302.1	133874198	BAF49302.1	43366
BAF49308.1	133874210	BAF49308.1	52518
BAF75887.1	156138791	BAF75887.1	3570
BAF75890.1	156138797	BAF75890.1	3570
BAF75893.1	156138803	BAF75893.1	3570
BAF75896.1	156138809	BAF75896.1	87530
BAF75897.1	156138811	BAF75897.1	87530
BAF75899.1	156138815	BAF75899.1	87530
BAG31945.1	187761613	BAG31945.1	4151
BAG31947.1	187761617	NP_001306616.1	4182
BAG31949.1	187761621	BAG31949.1	48386
BAG31950.1	187761623	BAG31950.1	4151
BAG31952.1	187761627	BAG31952.1	48386
BAG71125.1	204022234	BAG71125.1	3527
BAG71127.1	204022238	BAG71127.1	3527
BAG80535.1	209954689	BAG80535.1	112863
BAG80538.1	209954695	UGT74N1_S114	112863
BAG80541.1	209954701	BAG80541.1	112863
BAG80542.1	209954703	BAG80542.1	112863
BAG80546.1	209954711	BAG80546.1	112863
BAG80547.1	209954713	UGT85A20_S116	112863
BAG80550.1	209954719	UGT73A12_S118	112863
BAG80552.1	209954723	BAG80552.1	112863
BAG89064.1	215693865	XP_015632478.1	39947
BAG89523.1	215694530	XP_025876581.1	39947
BAG90026.1	215694835	XP_015637646.1	39947
BAG92712.1	215701288	Os_88C1_S89	39947
BAG94088.1	215708819	XP_015632478.1	39947
BAG95575.1	215734853	XP_015644111.1	39947
BAG95909.1	215736980	XP_025876581.1	39947
BAG96037.1	215737108	XP_015632478.1	39947
BAG97294.1	215740638	XP_025878635.1	39947
BAG98542.1	215766314	Os_72J1_S88	39947
BAG99068.1	215766840	XP_015639821.1	39947
BAH05016.1	219566996	BAG71125.1	3527
BAH05017.1	219566998	BAG71127.1	3527
BAH47552.1	226235168	BAH47552.1	138560
BAH93007.1	255676138	Os_72F1_S86	39947
BAH95367.1	255680245	XP_015617717.1	39947
BAI65909.1	283362112	BAI65909.1	55183
BAI65910.1	283362114	Fi_88A10_S67	55183
BAJ11649.1	300669721	BAJ11649.1	189007
BAJ11652.1	300669727	BAJ11652.1	189007
BAJ11653.1	300669729	BAJ11653.1	189007
BAJ34074.1	312282417	BAJ34074.1	98038
BAJ85760.1	326495328	BAJ85760.1	112509
BAJ85873.1	326495554	BAJ85873.1	112509
BAJ86441.1	326506246	BAJ85873.1	112509
BAJ87788.1	326513538	BAJ87788.1	112509
BAJ88230.1	326518402	BAJ88230.1	112509
BAJ88919.1	326525745	BAJ88919.1	112509
BAJ89091.1	326528079	BAJ89091.1	112509
BAJ89854.1	326488030	BAJ89854.1	112509
BAJ90124.1	326490914	BAJ90124.1	112509
BAJ91831.1	326510967	BAJ91831.1	112509
BAJ93179.1	326526005	BAJ93179.1	112509
BAJ96725.1	326520643	BAJ96725.1	112509
BAJ97132.1	326526231	BAJ97132.1	112509
BAJ97865.1	326531722	BAJ97865.1	112509
BAJ97944.1	326488665	BAJ97944.1	112509
BAJ98817.1	326501172	BAJ98817.1	112509
BAK00839.1	326526901	BAK00839.1	112509
BAK01118.1	326530640	BAJ87788.1	112509
BAK03417.1	326513020	BAJ97944.1	112509
BAK06294.1	326500410	BAK06294.1	112509
BAK07330.1	326518156	BAK07330.1	112509
BAK55737.1	342306002	F8WKW1.1	114476
BAK55747.1	342306022	Gj_88F6_S69	114476
BAO51833.1	586941103	BAO51833.1	4442
BAO51834.1	586941105	BAO51834.1	4442
BAO51837.1	586941111	UGT73A17_S180	4442
BAO51840.1	586941117	BAO51840.1	3486
BAO51842.1	586941121	BAO51842.1	4120
BAO79433.1	633259735	NP_001279020.1	3847
BAO79434.1	633259737	BAO79434.1	3847
BAO79435.1	633259739	BAO79435.1	3847
BAO79438.1	633259745	NP_001280039.1	3847
BAP90368.1	723586580	Fe_72AC1_S64	3617
BAP90371.1	723586586	Fe_72B19_S65	3617
BAS68504.1	937343964	UGT85K14_S171	105599
BAS68505.1	937343966	BAS68505.1	105599
BAS73208.1	937897228	Os_72J1_S88	39947
BAS73858.1	937897878	Os_88C1_S89	39947
BAS74217.1	937898237	XP_025876581.1	39947
BAS74222.1	937898242	BAB68088.1	39947
BAS74224.1	937898244	XP_015632478.1	39947
BAS74225.1	937898245	BAS74225.1	39947
BAS77845.1	937902791	XP_015624646.1	39947
BAS77848.1	937902794	BAS77848.1	39947
BAS77852.1	937902798	XP_025878635.1	39947
BAS92830.1	937917912	Os_72F1_S86	39947
BAS94994.1	937920076	XP_015637646.1	39947
BAS95005.1	937920087	XP_015639821.1	39947
BAS97638.1	937922721	XP_015644111.1	39947
BAT14741.1	937939828	XP_015617717.1	39947
BAT77472.1	965661763	XP_017420568.1	157739
BAT81844.1	965666356	XP_017429149.1	157739
BAT81856.1	965666368	KOM48230.1	157739
BAT87866.1	965600688	XP_017437329.1	157739
BAT89081.1	965601903	XP_017406822.1	157739
BAT89085.1	965601907	XP_017406815.1	157739
BAT89087.1	965601909	XP_017406819.1	157739
BAT89091.1	965601913	XP_017406805.1	157739
BAT92922.1	965605746	BAT92922.1	157739
BAT99588.1	965613956	BAT99588.1	157739
BAU00124.1	965614491	BAU00124.1	157739
BAU02201.1	965617051	XP_017438561.1	157739
BAV35237.1	1049013399	BAV35237.1	4120
BBA68562.1	1255287504	BBA68562.1	79376
BBB06426.1	1333373665	BBB06426.1	96455
BBB16127.1	1279846311	BBB16127.1	198914
BBB16128.1	1279846313	BBB16128.1	198914
BBC62105.1	1486856722	BBC62105.1	79376
BBC62110.1	1486856732	BBC62110.1	79376
BBC62115.1	1486856742	BBC62115.1	79376
BBD34312.1	1486856588	BBD34312.1	3747
BBE52863.1	1418351124	BBE52863.1	102107
BBG94173.1	1683363861	BBG94173.1	3755
BBG97629.1	1683368613	BBG97629.1	3755
BBH03453.1	1683376425	BBH03453.1	3755
BBH03455.1	1683376427	BBH03455.1	3755
BBN60796.1	1743235218	BBN60796.1	74613
BBN70118.1	1746754233	BBN70118.1	3755
BBN70121.1	1746754236	BBN70121.1	3755
CAB42903.1	4835225	At_72E1_S39	3702
CAB62443.1	6561977	At_72E1_S39	3702
CAB80916.1	7267604	At_72B1_S3	3702
CAC35167.1	13508844	Q9AR73.1	4060
CAI62049.1	60649935	CAI62049.1	4081
CAK26792.1	121490156	CAK26792.1	56623
CAM31954.1	148287135	NP_001302991.1	3708
CAM31955.1	148287137	NP_001235053.1	3847
CAN63439.1	147783000	CAN63439.1	29760
CAN63441.1	147783002	XP_002271726.3	29760
CAN71907.1	147781122	UGT85K14_S171	29760
CAN74227.1	147795873	CAN74227.1	29760
CAN78620.1	147856041	XP_002266349.1	29760
CAN80193.1	147851962	CAN80193.1	29760
CAN82542.1	147859071	XP_002282935.2	29760
CBI17565.3	297735203	CBI17565.3	29760
CBI22615.3	302143754	XP_019081383.1	29760
CBI22736.3	302143875	CBI22736.3	29760
CBI29442.3	296085643	CBI29442.3	29760
CBI34463.3	297742314	XP_019072060.1	29760
CBI39320.3	296089501	XP_002271558.1	29760
CBI75538.1	300681591	CBI75538.1	4565
CDM80561.1	669027260	CDM80561.1	4565
CDM80576.1	669027270	CDM80576.1	4565
CDM80806.1	669027446	CDM80806.1	4565
CDM83825.1	669029575	CDM83825.1	4565
CDM84022.1	669029727	CDM84022.1	4565
CDM84026.1	669029728	CDM84026.1	4565
CDO97203.1	661899209	CDP09466.1	49390
CDO97426.1	661899432	CDO97426.1	49390
CDO97432.1	661899438	CDO97432.1	49390
CDP01073.1	661895268	CDP01073.1	49390
CDP01076.1	661895271	CDP01076.1	49390
CDP01078.1	661895273	CDP01078.1	49390
CDP01079.1	661895274	CDP01079.1	49390
CDP01082.1	661895277	CDP01082.1	49390
CDP01087.1	661895282	CDP01087.1	49390
CDP08704.1	661887573	XP_027108518.1	49390
CDP09466.1	661887057	CDP09466.1	49390
CDP12136.1	661884219	CDP12136.1	49390
CDY15179.1	674917987	XP_013693709.1	3708
CDY16245.1	674917052	XP_013662853.1	3708
CDY30762.1	674902202	CDY30762.1	3708
CDY43105.1	674889609	CDY43105.1	3708
CDY48501.1	674883966	CDY48501.1	3708
CDY60796.1	674873121	XP_022552060.1	3708
CDY67473.1	674865879	CDY67473.1	3708
CDY72102.1	674848468	CDY72102.1	3708
EAY74998.1	125526884	EAY74998.1	39946
EAY75000.1	125526886	EAY75000.1	39946
EAY75001.1	125526887	EAY75001.1	39946
EAY75731.1	125527617	EAY75731.1	39946
EAY75738.1	125527624	EAY75738.1	39946
EAY75739.1	125527625	EAY75739.1	39946
EAY81508.1	125534960	EAY81508.1	39946
EAY85163.1	125538768	EAY85163.1	39946
EAY98767.1	125553058	EAY98767.1	39946
EAZ00831.1	125555225	EAZ00831.1	39946
EAZ12722.1	125571207	XP_015629899.1	39947
EAZ12723.1	125571208	Os_72J1_S88	39947
EAZ13448.1	125571933	EAZ13448.1	39947
EAZ18901.1	125577679	XP_015617717.1	39947
EAZ19124.1	125577902	XP_015632478.1	39947
EAZ22385.1	125581454	EAZ22385.1	39947
EAZ22387.1	125581456	Os_72H3_S87	39947
EEC70872.1	218188445	EEC70872.1	39946
EEC71332.1	218188905	Os_88C1_S89	39946
EEC72808.1	218190381	EEC72808.1	39946
EEC72809.1	218190382	EEC72809.1	39946
EEC72810.1	218190383	EEC72810.1	39946
EEC78723.1	218196296	EEC78723.1	39946
EEC79277.1	218196850	EEC79277.1	39946
EEE55241.1	222619109	Os_88C1_S89	39947
EEE55346.1	222619214	BAB68088.1	39947
EEE55347.1	222619215	XP_015632784.1	39947
EEE62755.1	222630623	EEE62755.1	39947
