ALTERNATIVEACC	GI	PRIMARYACC	TAXID
ALU96872.1	971159268	WP_010059313.1	1172567
ALV32661.1	971332039	WP_058922342.1	1725411
ALV52850.1	971352673	WP_058917201.1	1751294
AMK52071.1	998632729	AMK52071.1	65409
AMK52072.1	998632731	AMK52072.1	65409
AMK52073.1	998632733	AMK52073.1	65409
AMM11087.1	1001843845	WP_061404942.1	1886
AMQ26125.1	1005816415	AMQ26125.1	3893
AMW13604.1	1015642746	WP_062929760.1	1783515
ANB09261.1	1023057409	WP_063483437.1	1889
ANB10653.1	1023058801	WP_063484661.1	1889
ANH94092.1	1033853243	WP_064535862.1	1849967
ANJ03631.1	1035371624	ANJ03631.1	74613
ANJ10071.1	1035486901	WP_064730391.1	146923
ANN02876.1	1039217160	ANN02876.1	22663
ANP50265.1	1042028370	WP_067302689.1	68214
ANQ72121.1	1042832257	WP_065351981.1	1723645
ANS68803.1	1043639856	WP_067441911.1	1915
ANW17537.1	1046921803	WP_003962229.1	1901
ANZ15651.1	1051496946	WP_067346104.1	316284
ANZ16612.1	1051497907	ANZ16612.1	316284
AOP45292.1	1066948337	AOP45292.1	47763
AOR31431.1	1069154520	WP_069778076.1	164348
AOT62509.1	1072815090	AOT62509.1	285473
AOU75448.1	1073938691	WP_040246518.1	1888
AOW89695.1	1082324969	WP_070389418.1	47716
AOW90902.1	1082326176	AGC09509.1	47716
APC37796.1	1102268068	WP_013155404.1	2014
APE26048.1	1108534394	WP_041663413.1	54571
APH01914.1	1110983451	APH01914.1	857417
APS18461.1	1127397071	WP_075263617.1	1661694
APU42791.1	1130053588	WP_045322395.1	234612
APY85751.1	1137364836	WP_076683975.1	1642299
APY88397.1	1137367482	WP_076686451.1	1642299
AQA09387.1	1140124842	AQA09387.1	75293
AQA12577.1	1140128032	WP_079258087.1	75293
AQQ16675.1	1147400154	XP_019233766.1	49451
AQQ16709.1	1147400229	XP_019238745.1	49451
AQQ16719.1	1147400251	XP_019240384.1	49451
AQS66917.1	1148981190	WP_079160092.1	68249
AQT75067.1	1150427299	WP_060179799.1	1812480
AQU65928.1	1150883880	WP_078074458.1	193462
AQW50938.1	1153092491	WP_078641551.1	1912
AQW51677.1	1153093230	WP_078642148.1	1912
AQZ63755.1	1162993012	AQZ63755.1	1909395
ARA67362.1	1163138824	ARA67362.1	40707
ARE32766.1	1173410882	WP_081557410.1	1807790
ARE73942.1	1173732340	WP_081522130.1	1972846
ARF64978.1	1175652400	WP_083193509.1	1935
ARF76051.1	1175671705	WP_084751188.1	68173
ARF80068.1	1175680595	WP_030553180.1	1894
ARH91743.1	1179063848	WP_084771764.1	1961713
ARI51622.1	1181534360	WP_084991385.1	1837283
ART66192.1	1197989637	ART66192.1	228393
ARW73634.1	1201813845	XP_020409397.1	3760
ARX87235.1	1205261856	WP_087886267.1	67267
ARZ67152.1	1206163776	WP_087925652.1	1940
ASQ94789.1	1227315431	WP_119988666.1	1851167
ASQ95434.1	1227316076	WP_119989624.1	1851167
ASU60738.1	1234137412	WP_094805004.1	2014
ASY35099.1	1240572628	WP_095683154.1	1984801
ATI34781.1	1253253836	WP_097387818.1	1727214
ATL15304.1	1258168037	DcUGT2_S10	765876
ATL27679.1	1259309798	WP_098242464.1	1616117
ATL31346.1	1259313465	WP_098245494.1	1616117
ATL73057.1	1263971870	ATL73057.1	68249
ATL83777.1	1266920739	WP_099014157.1	92644
ATN96029.1	1269216799	XP_027838483.1	80765
ATN96036.1	1269216813	XP_022177590.1	13164
ATN96055.1	1269216851	XP_022175455.1	13164
ATZ00204.1	1285306611	WP_119828224.1	67258
ATZ23797.1	1285324937	ATZ23797.1	58340
AUA12945.1	1293089371	WP_100806899.1	1495638
AUA16811.1	1293093237	WP_079153482.1	1495638
AUI41116.1	1317978358	AUI41116.1	203015
AUR26624.1	1330699339	AUR26624.1	48106
AUR26628.1	1330699347	AUR26628.1	48106
AUS30569.1	1333037285	WP_042920301.1	334542
AUS77329.1	1333438411	WP_103055418.1	2072503
AVH99986.1	1349698680	WP_104860744.1	2094021
AWE54819.1	1384403667	WP_108710882.1	1827580
AWK11861.1	1389172049	WP_109296696.1	1690221
AWL32112.1	1390413554	WP_008405698.1	565560
AWL38253.1	1390419700	WP_103490797.1	1736046
AWL90297.1	1390676468	WP_030804216.1	1908
AWN29206.1	1393061359	WP_037741387.1	2202000
AWN31805.1	1393063958	WP_109895761.1	2202000
AWS45126.1	1398496186	WP_110700588.1	2202249
AWS46546.1	1398497606	WP_110703151.1	2202249
AWT46111.1	1399245279	WP_110632148.1	1885
AWV66723.1	1405687394	AWV66723.1	1833
AWW42392.1	1408435161	WP_112442209.1	2184053
AWZ06675.1	1418374079	WP_112452611.1	2099584
AWZ17121.1	1418369163	WP_112452611.1	2099583
AXE23629.1	1430395719	WP_114054808.1	68209
AXE83163.1	1431837342	WP_114249378.1	1893
AXE89449.1	1431843634	WP_114255981.1	2072505
AXG24386.1	1434828511	AXG24386.1	242839
AXG52991.1	1435098247	WP_067441911.1	1915
AXG80985.1	1435299212	WP_114663345.1	2282738
AXH92652.1	1438662652	WP_114920400.1	47850
AXI76026.1	1440137450	WP_114934283.1	67258
AXI89381.1	1440784416	WP_114875106.1	2211357
AXK92492.1	1444394133	AXK92492.1	190515
AXL91652.1	1445262978	WP_115744837.1	2083284
AXO34495.1	1450455911	WP_116505727.1	2201999
AXQ57308.1	1464447693	WP_101276601.1	188770
AXU12082.1	1469262147	WP_003962229.1	1901
AYA16111.1	1477121178	WP_076683975.1	1906
AYA18801.1	1477123868	WP_076686451.1	1906
AYC37768.1	1482409548	AYC37768.1	67304
AYF27628.1	1486364392	WP_120569915.1	479978
AYL38563.1	1491954516	WP_121547770.1	68203
AYN31251.1	1495130606	WP_040246518.1	1888
AYN38792.1	1495124582	WP_121786296.1	1442032
AYR16625.1	1510262342	AYR16625.1	355332
AYV30558.1	1511696989	WP_123080808.1	1522758
AZI60548.1	1527223534	WP_125050347.1	2490853
AZM59317.1	1535783084	WP_125503438.1	2203204
AZM79987.1	1536919055	WP_125635301.1	2305221
AZM91840.1	1536924267	WP_125822951.1	2305220
AZP21104.1	1538943236	WP_126274960.1	2548456
AZQ38258.1	1541465404	WP_126395916.1	2496836
AZS76659.1	1547202848	WP_127152765.1	47763
AZS84350.1	1547210541	WP_127177255.1	45398
BAA83484.1	5763524	BAA83484.1	65409
BAC76501.1	30698388	WP_011113124.1	1928
BAD29722.1	50284482	BAD29722.1	4058
BAD52006.1	52839682	BAD52006.1	3570
BAE99671.1	110743668	NP_179151.2	3702
BAF49308.1	133874210	BAF49308.1	52518
BAF75887.1	156138791	BAF75887.1	3570
BAF75890.1	156138797	BAF75890.1	3570
BAF75893.1	156138803	BAF75893.1	3570
BAG17901.1	178463381	BAG17901.1	455632
BAG18241.1	178463721	WP_012378508.1	455632
BAG31950.1	187761623	BAG31950.1	4151
BAG31952.1	187761627	BAG31952.1	48386
BAG71127.1	204022238	BAG71127.1	3527
BAG80536.1	209954691	BAG80536.1	112863
BAG80550.1	209954719	BAG80550.1	112863
BAH05017.1	219566998	BAG71127.1	3527
BAH31759.1	226183655	BAH31759.1	234621
BAH53163.1	226242815	WP_015888674.1	632772
BAI63589.1	283132367	BAI63589.1	34305
BAJ11652.1	300669727	BAJ11652.1	189007
BAJ28150.1	311895742	BAJ28150.1	452652
BAL87434.1	381370616	WP_014442329.1	512565
BAO51837.1	586941111	BAO51837.1	4442
BAT74946.1	965658527	XP_017437139.1	157739
BAT74953.1	965658534	XP_017435400.1	157739
BAT74955.1	965658536	XP_017435633.1	157739
BAU82905.1	1021081716	BAU82905.1	39478
BBH67531.1	1536897326	WP_127548593.1	946334
BBJ42791.1	1621421655	BBJ42791.1	284038
BBJ43635.1	1621422499	BBJ43635.1	284038
BBN60797.1	1743235220	BBN60797.1	74613
CAA11707.1	3294232	WP_053138975.1	1889
CAA17559.1	2911049	CAA17559.1	3702
CAA59450.1	1359905	CAA59450.1	4081
CAA80301.1	581564	Q53685.1	1890
CAB56231.1	5918023	CAB56231.1	90527
CAB80130.1	7270362	CAA17559.1	3702
CAC33935.1	13276817	WP_003972830.1	100226
CAI78437.1	96771855	CAI78437.1	278992
CAJ87944.1	117164399	CAI78437.1	278992
CAN65903.1	147839909	CAN65903.1	29760
CBG69113.1	260646022	CBG69113.1	680198
CCA53477.1	328880238	CCA53477.1	953739
CCB78148.1	337769435	WP_014146162.1	1003195
CCK26625.1	408528451	WP_015657019.1	1214101
CDO97203.1	661899209	CDP09466.1	49390
CDP09466.1	661887057	CDP09466.1	49390
CDR08823.1	642955210	WP_044573377.1	576784
CDR09674.1	642956020	CDR09674.1	576784
CDY13143.1	674920179	CDY13143.1	3708
CDY36633.1	674896218	CDY36633.1	3708
CDY65110.1	674869724	CDY65110.1	3708
CDY65497.1	674869183	CDY65497.1	3708
CDY65498.1	674869184	XP_013656221.1	3708
CQR61047.1	822877257	WP_029384642.1	1437453
CUM43549.1	932872538	WP_055645289.1	54571
CUW29283.1	972709379	WP_059250195.1	1926
CUW31969.1	972712041	CUW31969.1	1926
EAA03993.4	116132462	XP_308743.3	180454
EAA11593.4	157016104	XP_316292.4	180454
EAT45643.1	108881418	EAT45643.1	7159
EAT45644.1	108881419	EAT45644.1	7159
EDW15705.2	946589357	XP_002000244.2	7230
EDW15708.1	193916841	XP_002000247.1	7230
EDW66951.1	194151517	XP_002053431.1	7244
EDY44585.1	197697652	WP_008748073.1	465543
EDY49704.1	197703892	WP_003955207.1	1901
EDY52447.1	197706635	EDY52447.1	1901
EDY61389.1	197717355	EDY61389.1	463191
EDY62406.1	197718498	WP_005310295.1	457429
EEB14627.1	212511724	XP_002427365.1	121224
EEF43633.1	223542089	XP_002518708.1	3988
EEF43642.1	223542098	XP_002518717.1	3988
EEF43643.1	223542099	EEF43643.1	3988
EEF43644.1	223542100	XP_002518719.1	3988
EEF43646.1	223542102	XP_002518721.1	3988
EEF43650.1	223542106	XP_002518725.1	3988
EEN84607.1	229318749	WP_003945704.1	596309
EFA02977.2	1004400522	XP_008191817.1	7070
EFD65896.1	289698467	WP_003972830.1	457428
EFE66360.1	291339404	EFE66360.1	566461
EFE78496.1	291351592	WP_006128476.1	457431
EFE78845.1	291351941	WP_006128830.1	457431
EFE81099.1	291354197	WP_003947979.1	1886
EFF93749.1	292835400	WP_009191290.1	645465
EFG04124.1	294321989	WP_003955207.1	1901
EFG09960.1	294328317	WP_003962229.1	1901
EFH43392.1	297312969	XP_002867133.1	81972
EFH43393.1	297312970	EFH43393.1	81972
EFH43394.1	297312971	EFH43394.1	81972
EFH60156.1	297329737	XP_002883897.1	81972
EFH60157.1	297329738	XP_002883898.1	81972
EFK99612.1	302427797	WP_009065032.1	591157
EFL18317.1	302446501	WP_007267242.1	253839
EFL22521.1	302459428	EFL22521.1	457427
EFL25096.1	302462003	WP_009716900.1	457427
EFL35690.1	302472597	WP_003993825.1	591159
EFL38312.1	302475219	EFL38312.1	467200
EGD42475.1	325950423	EGD42475.1	408672
EGE40562.1	326655716	EGE40562.1	1609288
EGE41022.1	326656176	WP_003965454.1	1609288
EGJ77564.1	332747123	WP_007827340.1	355249
EGX55727.1	345634045	WP_007502767.1	700597
EHI44368.1	356664275	WP_005244398.1	543736
EHK80138.1	359731024	WP_005449603.1	1114959
EHK86596.1	359737669	WP_005449603.1	1114959
EHM29801.1	364008826	EHM29801.1	1055352
EHM31108.1	364010179	EHM31108.1	1055352
EHN79878.1	371552638	EHN79878.1	1120227
EHR63221.1	374663343	EHR63221.1	882082
EHY89005.1	379255079	WP_005441244.1	882081
EID55013.1	383462923	WP_006239158.1	882086
EID73367.1	383833917	EID73367.1	1165867
EJI96380.1	396929174	EJI96380.1	745408
EJJ07170.1	396996174	EJJ07170.1	1160718
EKT83134.1	414572436	EKT83134.1	1129896
ELB94632.1	430779473	ELB94632.1	1195242
ELP63725.1	440275281	ELP63725.1	698760
ELQ78790.1	440615608	ELQ78790.1	1265868
ELS57484.1	443343350	ELS57484.1	1160705
EME17014.1	452758624	EME17014.1	1278077
EMF21644.1	455642492	EMF21644.1	1284664
EMF53516.1	456388026	WP_005481995.1	1054862
EOA16361.1	482552168	EOA16361.1	81985
EOA16545.1	482552352	XP_006283647.1	81985
EOA19163.1	482554970	XP_006286265.1	81985
EOA29507.1	482565318	XP_006296609.1	81985
EOA30451.1	482566262	XP_006297553.1	81985
EOS99527.1	508088397	WP_016576796.1	1316445
EOX98312.1	508706416	EOX98312.1	3641
EOX98313.1	508706417	EOX98313.1	3641
EOX98314.1	508706418	EOX98314.1	3641
EOX98315.1	508706419	EOX98315.1	3641
EOX98321.1	508706425	EOX98321.1	3641
EOY09906.1	508718009	EOY09906.1	3641
EOY19942.1	508728045	EOY19942.1	3641
EOY19946.1	508728049	EOY19946.1	3641
EPD66439.1	512067046	WP_016431935.1	1078086
EPH46670.1	514333985	EPH46670.1	1286094
EPJ33989.1	514934653	EPJ33989.1	1283301
ERB54562.1	536662661	ERB54562.1	1384060
ESP97023.1	556914368	WP_023422827.1	1218177
ESQ03189.1	556920575	WP_023419523.1	1223307
ESQ51002.1	557110711	XP_006409549.1	72664
ESQ53723.1	557113440	ESQ53723.1	72664
ESQ53724.1	557113441	XP_006412271.1	72664
ESR36209.1	557524903	XP_006422969.1	85681
ESR36210.1	557524904	ESR36210.1	85681
EST31176.1	558540035	WP_023537860.1	1352941
EST34675.1	558543743	EST34675.1	1352936
ESU47040.1	559239047	WP_006128476.1	1396518
ESW25567.1	561026927	XP_007153573.1	3885
ESW25569.1	561026929	XP_007153575.1	3885
ESW29230.1	561030651	XP_007157236.1	3885
ESW29720.1	561031141	XP_007157726.1	3885
ETN61209.1	568251756	ETN61209.1	43151
EWM63707.1	585244175	WP_043324067.1	457406
EWS95372.1	586918166	WP_006128476.1	457430
EWS95705.1	586918499	WP_006128830.1	457430
EXC17291.1	587930162	EXC17291.1	981085
EXC17295.1	587930166	XP_010107895.1	981085
EXC17298.1	587930169	EXC17298.1	981085
EXC17299.1	587930170	EXC17299.1	981085
EXC17301.1	587930172	EXC17301.1	981085
EXU63857.1	594128561	WP_037960532.1	1158056
EXU66988.1	594131736	WP_051573173.1	1158056
EXU87518.1	594642900	WP_016576796.1	1395572
EYT83182.1	602257543	WP_037889382.1	1470557
EYU37652.1	604333301	XP_012836925.1	4155
EYU70309.1	606234290	WP_037915397.1	1460244
GAF44628.1	589261234	GAF44628.1	1219028
GAO06046.1	780967685	GAO06046.1	1546107
GAP47437.1	913350125	GAP47437.1	146537
GAQ52453.1	970393818	GAQ52453.1	42234
GAQ66317.1	970377461	WP_059083582.1	1930
GAQ70935.1	970225026	WP_059072994.1	85558
GAT82829.1	1026349613	WP_067396693.1	1840095
GAU19892.1	1045398648	GAU19892.1	3900
GAU19893.1	1045398649	GAU19893.1	3900
GAU29078.1	1045387593	GAU29078.1	3900
GAU67466.1	1685673273	WP_066930707.1	1621259
GAV40419.1	1125624189	GAQ52453.1	42234
GAV69918.1	1130849824	GAV69918.1	3775
GAV90448.1	1130823834	GAV90448.1	3775
GAV90449.1	1130823835	GAV90449.1	3775
GAX56060.1	1237888137	WP_067375832.1	1963
GAY54937.1	1315952907	GAY54937.1	55188
GAY54938.1	1315952908	GAY54938.1	55188
GAY54941.1	1315952911	GAY54941.1	55188
GAY54942.1	1315952912	GAY54942.1	55188
GAY64725.1	1315942753	GAY64725.1	55188
GBP98911.1	1425960707	GBP98911.1	1690221
GCB45134.1	1493712038	WP_124438418.1	376149
GCB54616.1	1543239178	WP_060938351.1	1833
GCB94209.1	1510858220	WP_016576796.1	68570
GCD94369.1	1532023702	WP_126636543.1	516124
GCE40274.1	1541318407	GCE40274.1	44752
GDY42916.1	1621364315	WP_137965871.1	68175
GDY43695.1	1621365094	WP_137966350.1	68175
GDY53826.1	1621377305	WP_137978057.1	68280
GEB53312.1	1681747765	GEB53312.1	66857
GEB54044.1	1681744885	WP_086818193.1	66857
GEB54677.1	1681809769	WP_141292470.1	66892
GEC03830.1	1681941368	GEC03830.1	284043
GEC18725.1	1681607098	WP_141277341.1	76726
GED84035.1	1681719268	GED84035.1	2585753
GEJ99915.1	1704768794	WP_143630669.1	2590549
GEM42513.1	1714503164	WP_147140220.1	1210091
GEN06589.1	1713807026	WP_083559708.1	33
GER36953.1	1746574243	GER36953.1	4170
GER98695.1	1775938961	WP_155335127.1	35763
GES31153.1	1761188174	GES31153.1	285578
GES33920.1	1761185803	GES33920.1	285578
KAA0031311.1	1735188559	KAA0031311.1	1194695
KAA0031312.1	1735188560	XP_016901676.1	1194695
KAA0031314.1	1735188562	TYK06765.1	1194695
KAA0031315.1	1735188563	XP_008454968.1	1194695
KAA0031316.1	1735188564	XP_008454970.1	1194695
KAA0037144.1	1735195315	XP_008456146.1	1194695
KAA0941457.1	1736522213	WP_149510122.1	1828112
KAA3488664.1	1743099070	KAA3488664.1	47621
KAA5833673.1	1747121940	WP_150067361.1	1837
KAA6199849.1	1747832340	WP_093445106.1	66428
KAA6210185.1	1747884483	WP_150226127.1	67294
KAA6213285.1	1747887584	WP_150250412.1	1306175
KAA6215556.1	1747889857	WP_150226127.1	67294
KAA8532161.1	1750486191	KAA8532161.1	561372
KAA8539973.1	1750494009	KAA8539973.1	561372
KAA8545837.1	1750503171	KAA8545837.1	561372
KAA8545841.1	1750503175	KAA8545841.1	561372
KAA8545843.1	1750503177	KAA8545843.1	561372
KAA8545845.1	1750503179	KAA8545845.1	561372
KAA8545846.1	1750503180	KAA8545846.1	561372
KAA8885760.1	1751357900	WP_150405318.1	2545717
KAA9163693.1	1752582058	WP_144750581.1	2596893
KAB1116969.1	1755520754	WP_123110138.1	47850
KAB1208500.1	1755839906	KAB1208500.1	262757
KAB1208501.1	1755839907	KAB1208501.1	262757
KAB1904153.1	1757890171	WP_151500952.1	2650565
KAB1993653.1	1758000728	PPD78050.1	3634
KAB1993654.1	1758000729	TYH33263.1	3634
KAB1997449.1	1758004526	KAB1997449.1	3634
KAB1997450.1	1758004527	PPD86817.1	3634
KAB2035909.1	1758043027	KAB2035909.1	3634
KAB2047432.1	1758054573	XP_016675061.1	3634
KAB2047433.1	1758054574	KAB2047433.1	3634
KAB2088003.1	1758095180	TYH22824.1	3634
KAB2587044.1	1759309929	WP_151530750.1	1833
KAB2593134.1	1759347799	WP_151509770.1	2600619
KAB2594695.1	1759350689	KAB2594695.1	2448454
KAB2594696.1	1759350690	KAB2594696.1	2448454
KAB2602868.1	1759358948	KAB2602868.1	2448454
KAB2635885.1	1759392810	KAB2635885.1	2448454
KAB2975443.1	1761005542	WP_151786481.1	2651869
KAB8166557.1	1768618630	WP_139667681.1	2586635
KAB8179249.1	1768631495	WP_139667681.1	2586636
KAE8645858.1	1775884757	KAE8645858.1	3659
KAE8650501.1	1775890843	KAE8650501.1	3659
KAE8698601.1	1776561739	KAE8698601.1	106335
KAE8698604.1	1776561742	KAE8698604.1	106335
KCW54462.1	629088209	XP_010027835.1	71139
KCW54463.1	629088210	XP_010027836.1	71139
KCW54501.1	629088248	XP_010027864.1	71139
KCW54502.1	629088249	KCW54502.1	71139
KCW54506.1	629088253	XP_010027865.1	71139
KCW54507.1	629088254	XP_010027866.1	71139
KCW54508.1	629088255	XP_010027867.1	71139
KCW54536.1	629088283	XP_010027899.1	71139
KCW54537.1	629088284	XP_010027900.1	71139
KCW54539.1	629088286	XP_010027902.1	71139
KCW55160.1	629088907	KCW55160.1	71139
KCW55162.1	629088909	KCW55162.1	71139
KCW55164.1	629088911	KCW55164.1	71139
KCW55169.1	629088916	KCW55169.1	71139
KCW63754.1	629097989	KCW63754.1	71139
KCW64673.1	629098908	KCW64673.1	71139
KCW64873.1	629099108	XP_010066837.1	71139
KCW64874.1	629099109	KCW64874.1	71139
KCW74287.1	629109141	KCW74287.1	71139
KCW74288.1	629109142	XP_010057244.1	71139
KDN78985.1	640936482	KDN78985.1	358823
KDN85914.1	641395805	KDN85914.1	1348663
KDO59781.1	641840864	XP_006487031.1	2711
KDO59783.1	641840866	KDO59783.1	2711
KDP24999.1	643711471	KDP24999.1	180498
KDP25000.1	643711472	KDP25000.1	180498
KDP25001.1	643711473	KDP25001.1	180498
KDQ05148.1	646268695	WP_042920301.1	334542
KDQ67093.1	646539886	KDQ67093.1	1487711
KDR07235.1	646691843	KDR07235.1	136037
KDR20346.1	646717519	KDR20346.1	136037
KDR20744.1	646718153	XP_021917429.1	136037
KDR20745.1	646718154	KDR20745.1	136037
KDR22772.1	646721424	KDR22772.1	136037
KDR63003.1	647989175	WP_008405698.1	141454
KEF03436.1	655918318	WP_031008613.1	1927
KEF10768.1	655925925	KEF10768.1	1421017
KEF17180.1	655932501	WP_030182964.1	1927
KEG39242.1	657283269	WP_037642329.1	66897
KEH30901.1	657389151	KEH30901.1	3880
KEH30902.1	657389152	XP_013456871.1	3880
KEI43448.1	658168752	WP_029722039.1	28042
KFB50598.1	668463180	KFB50598.1	74873
KFF97765.1	672100032	WP_037700340.1	1930
KFG08998.1	672153847	WP_037724492.1	1930
KFG73076.1	672310539	WP_043378501.1	1915400
KFK30045.1	674237280	KFK30045.1	50452
KFK30049.1	674237284	KFK30049.1	50452
KFK30050.1	674237285	KFK30050.1	50452
KFK30051.1	674237286	KFK30051.1	50452
KFK30052.1	674237287	KFK30052.1	50452
KFK30053.1	674237288	KFK30053.1	50452
KFK40015.1	674247250	KFK40015.1	50452
KFK87375.1	674712753	WP_032786957.1	1525753
KGN43909.1	700188676	XP_011658893.1	3659
KGN43913.1	700188680	XP_004137109.2	3659
KGN43915.1	700188682	XP_011658896.1	3659
KHD79239.1	724747266	WP_043521705.1	1869
KHF44053.1	727122774	WP_037308838.1	1852
KHN05612.1	734326720	XP_003538838.1	3848
KHN12228.1	734349814	XP_014621819.1	3848
KHN12233.1	734349819	XP_003518713.1	3848
KHN12234.1	734349820	XP_028185907.1	3848
KIF00658.1	746787694	KIF00658.1	1571774
KIF72241.1	747164837	WP_041996408.1	352211
KIF77411.1	747170221	WP_040025757.1	1576605
KIH96797.1	748822317	WP_040276470.1	183763
KIQ61906.1	756543208	WP_043913634.1	2064
KIZ14400.1	762052534	WP_044368156.1	1240678
KJB47381.1	763780310	XP_012436164.1	29730
